ProjectTitle,TissueType,Tissue,ComparisonName,Gene,HumanGene,log2FoldChange,padj,OR,-log10P,enrichment_score
"OSD-289: MHU-1/2, thymus",thymus,thymus,"MHU2, Spaceflight (1G centrifugation) vs Spaceflight (uG)",Crtac1,CRTAC1,-3.643293453,,0.08003121086,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,GroundControl (EuthanasiaOnEarth) (Age 29wk) vs BasalControl (EuthanasiaOnEarth) (Age 29wk),Cdhr2,CDHR2,-3.556979086,,0.08496549681,#NUM!,#DIV/0!
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (uG) (chow+FOS) vs Spaceflight (1G centrifugation) (chow),Timd2,HAVCR1,-3.475519522,,0.08990096913,#NUM!,#DIV/0!
"OSD-173: CBTM-3, liver",liver,liver,Spaceflight vs VivariumControl,Ccn5,CCN5,-3.425914633,,0.09304583399,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnISS) (Age 29wk) vs BasalControl (EuthanasiaOnEarth) (Age 29wk),Cdhr2,CDHR2,-3.344993581,,0.09841393491,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow+FOS) vs GroundControl (1G) (chow+FOS),Timd2,HAVCR1,-3.23595797,,0.106140123,#NUM!,#DIV/0!
"OSD-173: CBTM-3, liver",liver,liver,Spaceflight vs GroundControl,Ccn5,CCN5,-3.186111052,,0.1098714874,#NUM!,#DIV/0!
"OSD-242: RR-9, liver",liver,liver,VivariumControl_C2 vs BasalControl_C1,Cdhr2,CDHR2,-3.148360202,,0.1127844282,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow+FOS) vs VivariumControl (1G) (chow+FOS),Timd2,HAVCR1,-3.043043412,,0.1213256579,#NUM!,#DIV/0!
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (uG) (chow+FOS) vs GroundControl (1G) (chow+FOS),Nefl,NEFL,-2.977500129,,0.1269647463,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (1G centrifugation) (chow+FOS) vs GroundControl (1G) (chow+FOS),Timd2,HAVCR1,-2.973559371,,0.1273120278,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow+FOS) vs Spaceflight (1G centrifugation) (chow),Timd2,HAVCR1,-2.970025799,,0.1276242334,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (1G centrifugation) (chow+FOS) vs VivariumControl (1G) (chow+FOS),Havcr1,HAVCR1,-2.951134686,,0.1293063754,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnISS) (Age 29wk) vs Spaceflight (EuthanasiaOnISS) (Age 12wk),Timd2,HAVCR1,-2.930335502,,0.1311840748,#NUM!,#DIV/0!
"OSD-246: RR-6, spleen",spleen,spleen,BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),Nefl,NEFL,-2.864175357,,0.1373400827,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow) vs GroundControl (1G) (chow),Cdhr2,CDHR2,-2.851058399,,0.1385944702,#NUM!,#DIV/0!
"OSD-288: MHU-1, spleen",spleen,spleen,Spaceflight (1G centrifugation) vs GroundControl (1G),Gfap,GFAP,-2.842145288,,0.1394533708,#NUM!,#DIV/0!
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (uG) (chow+FOS) vs Spaceflight (1G centrifugation) (chow+FOS),Cdhr2,CDHR2,-2.75204047,,0.1484407942,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow+FOS) vs GroundControl (1G) (chow+FOS),Cdhr2,CDHR2,-2.714274941,,0.1523778446,#NUM!,#DIV/0!
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (1G centrifugation) (chow) vs VivariumControl (1G) (chow),Cdhr2,CDHR2,-2.678447265,,0.1562093522,#NUM!,#DIV/0!
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (1G centrifugation) (chow+FOS) vs VivariumControl (1G) (chow+FOS),Nefl,NEFL,-2.598624056,,0.165095871,#NUM!,#DIV/0!
"OSD-289: MHU-1/2, thymus",thymus,thymus,"MHU1, Spaceflight (1G centrifugation) vs Spaceflight (uG)",Cxcl17,CXCL17,-2.589941882,,0.1660924175,#NUM!,#DIV/0!
"OSD-401: RR-5, muscle, gastrocnemius",muscle,"muscle, gastrocnemius",Spaceflight vs GroundControl,Nefl,NEFL,-2.581288784,,0.1670916119,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnEarth) (Age 12wk) vs BasalControl (EuthanasiaOnEarth) (Age 12wk),Cdhr2,CDHR2,-2.57403927,,0.1679333571,#NUM!,#DIV/0!
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (1G centrifugation) (chow+FOS) vs GroundControl (1G) (chow+FOS),Nefl,NEFL,-2.550172235,,0.1707346478,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (1G centrifugation) (chow+FOS) vs VivariumControl (1G) (chow+FOS),Timd2,HAVCR1,-2.525705015,,0.1736548952,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (1G centrifugation) (chow+FOS) vs Spaceflight (uG) (chow),Timd2,HAVCR1,-2.496648499,,0.1771878397,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 29wk) vs BasalControl (EuthanasiaOnISS) (Age 29wk),Havcr1,HAVCR1,-2.48526848,,0.1785910293,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,GroundControl (EuthanasiaOnISS) (Age 29wk) vs BasalControl (EuthanasiaOnISS) (Age 29wk),Havcr1,HAVCR1,-2.45936104,,0.1818270769,#NUM!,#DIV/0!
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (1G centrifugation) (chow+FOS) vs Spaceflight (uG) (chow+FOS),Cxcl17,CXCL17,-2.451722186,,0.1827923773,#NUM!,#DIV/0!
"OSD-401: RR-5, muscle, gastrocnemius",muscle,"muscle, gastrocnemius",Spaceflight vs GroundControl,Crtac1,CRTAC1,-2.436001391,,0.1847951257,#NUM!,#DIV/0!
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (uG) (chow+FOS) vs VivariumControl (1G) (chow+FOS),Nefl,NEFL,-2.426780223,,0.18598005,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnEarth) (Age 12wk) vs BasalControl (EuthanasiaOnEarth) (Age 12wk),Cdhr2,CDHR2,-2.392288969,,0.1904799472,#NUM!,#DIV/0!
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (uG) (chow+FOS) vs VivariumControl (1G) (chow+FOS),Timd2,HAVCR1,-2.378945109,,0.1922499184,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnEarth) (Age 29wk) vs BasalControl (EuthanasiaOnEarth) (Age 29wk),Havcr1,HAVCR1,-2.280981656,,0.2057577025,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 12wk) vs BasalControl (EuthanasiaOnISS) (Age 12wk),Crtac1,CRTAC1,-2.227414617,,0.2135410567,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,GroundControl (EuthanasiaOnEarth) (Age 29wk) vs BasalControl (EuthanasiaOnEarth) (Age 29wk),Timd2,HAVCR1,-2.194796212,,0.2184240754,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow+FOS) vs Spaceflight (uG) (chow),Timd2,HAVCR1,-2.182339836,,0.2203181361,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 29wk) vs Spaceflight (EuthanasiaOnISS) (Age 29wk),Havcr1,HAVCR1,-2.160734289,,0.2236424114,#NUM!,#DIV/0!
"OSD-246: RR-6, spleen",spleen,spleen,BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),BC053393,HAVCR1,-2.155887317,,0.2243950385,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnEarth) (Age 29wk) vs GroundControl (EuthanasiaOnEarth) (Age 29wk),Cdhr2,CDHR2,-2.155453779,,0.2244624806,#NUM!,#DIV/0!
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (uG) (chow+FOS) vs VivariumControl (1G) (chow+FOS),Cdhr2,CDHR2,-2.124040212,,0.2294035764,#NUM!,#DIV/0!
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","Spaceflight 25d vs VivariumControl 25d, C57BL/6J",Cxcl17,CXCL17,-2.113047962,,0.2311581346,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,GroundControl (EuthanasiaOnEarth) (Age 12wk) vs BasalControl (EuthanasiaOnEarth) (Age 12wk),Cdhr2,CDHR2,-2.112421529,,0.2312585276,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 12wk) vs Spaceflight (EuthanasiaOnISS) (Age 12wk),Havcr1,HAVCR1,-2.083350183,,0.2359658223,#NUM!,#DIV/0!
"OSD-270: RR-3, heart",heart,heart,Spaceflight SpaceRadiation vs GroundControl NonIrradiated,Crtac1,CRTAC1,-2.053905732,,0.2408312093,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnEarth) (Age 12wk) vs BasalControl (EuthanasiaOnEarth) (Age 12wk),Timd2,HAVCR1,-1.999824236,,0.2500304595,#NUM!,#DIV/0!
"OSD-419: RR-1, muscle, gastrocnemius",muscle,"muscle, gastrocnemius",Spaceflight vs GroundControl,Ltbp2,LTBP2,-1.948225241,,0.2591348147,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (1G centrifugation) (chow+FOS) vs VivariumControl (1G) (chow+FOS),Nefl,NEFL,-1.935778668,,0.2613801217,#NUM!,#DIV/0!
"OSD-48: RR-1, liver",liver,liver,Spaceflight (FrozenCarcass) vs GroundControl (FrozenCarcass),Havcr1,HAVCR1,-1.903459996,,0.2673015306,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnEarth) (Age 29wk) vs BasalControl (EuthanasiaOnEarth) (Age 29wk),Timd2,HAVCR1,-1.896403121,,0.2686122266,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (1G centrifugation) (chow+FOS) vs GroundControl (1G) (chow+FOS),Cdhr2,CDHR2,-1.891780339,,0.2694743126,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow+FOS) vs VivariumControl (1G) (chow+FOS),Cdhr2,CDHR2,-1.889027901,,0.2699889185,#NUM!,#DIV/0!
"OSD-101: RR-1, muscle, gastrocnemius",muscle,"muscle, gastrocnemius",Spaceflight vs GroundControl,Timd2,HAVCR1,-1.835402006,,0.2802134273,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow) vs VivariumControl (1G) (chow),Cdhr2,CDHR2,-1.822467058,,0.2827370676,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnEarth) (Age 12wk) vs BasalControl (EuthanasiaOnEarth) (Age 12wk),Timd2,HAVCR1,-1.819384294,,0.2833418687,#NUM!,#DIV/0!
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (1G centrifugation) (chow) vs VivariumControl (1G) (chow),Nefl,NEFL,-1.711415208,,0.3053603801,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 12wk) vs Vivariumcontrol (EuthanasiaOnEarth) (Age 12wk),Havcr1,HAVCR1,-1.702960768,,0.3071550977,#NUM!,#DIV/0!
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","VivariumControl 75d vs GroundControl 75d, C3H/HeJ",Cdhr2,CDHR2,-1.682351097,,0.311574464,#NUM!,#DIV/0!
"OSD-242: RR-9, liver",liver,liver,VivariumControl_C2 vs BasalControl_C1,Havcr1,HAVCR1,-1.675109521,,0.3131423369,#NUM!,#DIV/0!
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (1G centrifugation) (chow+FOS) vs Spaceflight (uG) (chow),Nefl,NEFL,-1.667420608,,0.3148156991,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnEarth) (Age 29wk) vs BasalControl (EuthanasiaOnEarth) (Age 29wk),Timd2,HAVCR1,-1.623852479,,0.324467868,#NUM!,#DIV/0!
"OSD-248: RR-6, lung",lung,lung,Spaceflight 30d (FreshDissection on Earth) vs GroundControl 30d (FreshDissection on Earth),BC053393,HAVCR1,-1.606247624,,0.3284515265,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnEarth) (Age 29wk) vs Spaceflight (EuthanasiaOnEarth) (Age 12wk),Havcr1,HAVCR1,-1.597236664,,0.3305094291,#NUM!,#DIV/0!
"OSD-289: MHU-1/2, thymus",thymus,thymus,"MHU1, Spaceflight (1G centrifugation) vs Spaceflight (uG)",Eda2r,EDA2R,-1.588800185,,0.3324478183,#NUM!,#DIV/0!
"OSD-379: RR-8, liver",liver,liver,Spaceflight 40d (FreshDissection on Earth) vs VivariumControl 40d (FreshDissection on Earth),Nefl,NEFL,-1.560216921,,0.3391000917,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,GroundControl (EuthanasiaOnEarth) (Age 12wk) vs BasalControl (EuthanasiaOnEarth) (Age 12wk),Timd2,HAVCR1,-1.543412328,,0.3430730422,#NUM!,#DIV/0!
"OSD-246: RR-6, spleen",spleen,spleen,BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),Crtac1,CRTAC1,-1.534111738,,0.3452918677,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow) vs GroundControl (1G) (chow),Cxcl17,CXCL17,-1.50375434,,0.3526345311,#NUM!,#DIV/0!
"OSD-289: MHU-1/2, thymus",thymus,thymus,"MHU1, Spaceflight (1G centrifugation) vs Spaceflight (uG)",Timd2,HAVCR1,-1.418021954,,0.374225052,#NUM!,#DIV/0!
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (uG) (chow+FOS) vs GroundControl (1G) (chow+FOS),Cdhr2,CDHR2,-1.407873557,,0.3768667559,#NUM!,#DIV/0!
"OSD-326: RR-4, muscle, quadriceps femoris",muscle,"muscle, quadriceps femoris",Spaceflight vs GroundControl,Ltbp2,LTBP2,-1.395745551,,0.3800482376,#NUM!,#DIV/0!
"OSD-100: RR-1, eye",eye,eye,Spaceflight vs GroundControl,Havcr1,HAVCR1,-1.395354307,,0.3801513167,#NUM!,#DIV/0!
"OSD-420: RR-9, spleen",spleen,spleen,Spaceflight vs GroundControl,Wnt9a,WNT9A,-1.381616739,,0.3837884662,#NUM!,#DIV/0!
"OSD-137: RR-3, liver",liver,liver,Spaceflight vs BasalControl,Havcr1,HAVCR1,-1.377336076,,0.3849289075,#NUM!,#DIV/0!
"OSD-99: RR-1, muscle, extensor digitorum longus",muscle,"muscle, extensor digitorum longus",Spaceflight vs GroundControl,Nefl,NEFL,-1.372994299,,0.3860890923,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnEarth) (Age 29wk) vs BasalControl (EuthanasiaOnEarth) (Age 29wk),Havcr1,HAVCR1,-1.35630026,,0.3905826418,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (1G centrifugation) (chow+FOS) vs GroundControl (1G) (chow+FOS),Nefl,NEFL,-1.322748932,,0.3997724805,#NUM!,#DIV/0!
"OSD-247: RR-6, colon",colon,colon,Spaceflight 60d (FrozenCarcass on ISS) vs GroundControl 60d (FrozenCarcass on Earth),Cxcl17,CXCL17,-1.320011642,,0.4005317067,#NUM!,#DIV/0!
"OSD-173: CBTM-3, liver",liver,liver,VivariumControl vs GroundControl,Cdhr2,CDHR2,-1.313981677,,0.4022092938,#NUM!,#DIV/0!
"OSD-288: MHU-1, spleen",spleen,spleen,Spaceflight (uG) vs Spaceflight (1G centrifugation),Gfap,GFAP,-1.294739724,,0.4076096963,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow) vs VivariumControl (1G) (chow),Havcr1,HAVCR1,-1.290019733,,0.4089454358,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 12wk) vs Spaceflight (EuthanasiaOnISS) (Age 12wk),Cdhr2,CDHR2,-1.28566234,,0.4101824469,#NUM!,#DIV/0!
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (1G centrifugation) (chow+FOS) vs Spaceflight (uG) (chow),Havcr1,HAVCR1,-1.278592366,,0.4121974927,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,GroundControl (EuthanasiaOnEarth) (Age 29wk) vs BasalControl (EuthanasiaOnEarth) (Age 29wk),Crtac1,CRTAC1,-1.261726451,,0.41704459,#NUM!,#DIV/0!
"OSD-289: MHU-1/2, thymus",thymus,thymus,"MHU1, Spaceflight (1G centrifugation) vs Spaceflight (uG)",Crtac1,CRTAC1,-1.246453644,,0.4214830023,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnEarth) (Age 29wk) vs GroundControl (EuthanasiaOnEarth) (Age 29wk),Havcr1,HAVCR1,-1.219799617,,0.4293423476,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,BasalControl (EuthanasiaOnISS) (Age 12wk) vs BasalControl (EuthanasiaOnEarth) (Age 12wk),Cdhr2,CDHR2,-1.201723143,,0.4347557029,#NUM!,#DIV/0!
"OSD-379: RR-8, liver",liver,liver,Spaceflight 40d (FreshDissection on Earth) vs BasalControl 1d (FreshDissection on Earth),Nefl,NEFL,-1.196930257,,0.4362024392,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnEarth) (Age 29wk) vs BasalControl (EuthanasiaOnEarth) (Age 29wk),Crtac1,CRTAC1,-1.185815407,,0.4395760207,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 12wk) vs BasalControl (EuthanasiaOnISS) (Age 12wk),Havcr1,HAVCR1,-1.18460397,,0.4399452896,#NUM!,#DIV/0!
"OSD-289: MHU-1/2, thymus",thymus,thymus,"MHU2, Spaceflight (uG) vs GroundControl (1G)",Cxcl17,CXCL17,-1.183359735,,0.4403248786,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,GroundControl (EuthanasiaOnISS) (Age 29wk) vs GroundControl (EuthanasiaOnEarth) (Age 29wk),Cdhr2,CDHR2,-1.167402862,,0.4452221079,#NUM!,#DIV/0!
"OSD-289: MHU-1/2, thymus",thymus,thymus,"MHU1, Spaceflight (1G centrifugation) vs GroundControl (1G)",Eda2r,EDA2R,-1.15311966,,0.4496518594,#NUM!,#DIV/0!
"OSD-245: RR-6, liver",liver,liver,Spaceflight 60d (FrozenCarcass on ISS) vs GroundControl 60d (FrozenCarcass on Earth),Crtac1,CRTAC1,-1.14811998,,0.4512128376,#NUM!,#DIV/0!
"OSD-163: RR-3, kidney",kidney,kidney,Spaceflight vs BasalControl,Cxcl17,CXCL17,-1.144399304,,0.4523780066,#NUM!,#DIV/0!
"OSD-163: RR-3, kidney",kidney,kidney,Spaceflight vs BasalControl,Ccn5,CCN5,-1.137147025,,0.4546577894,#NUM!,#DIV/0!
"OSD-242: RR-9, liver",liver,liver,CohortControl_C1 vs CC_C2,Havcr1,HAVCR1,-1.136572132,,0.454839,#NUM!,#DIV/0!
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","Spaceflight 25d vs VivariumControl 25d, C57BL/6J",Cdhr2,CDHR2,-1.09420463,,0.4683942822,#NUM!,#DIV/0!
"OSD-511: RR-8, mammary gland",gland,mammary gland,(Age 12wk) Spaceflight vs (Age 12wk) GroundControl,Nefl,NEFL,-1.08007344,,0.4730047444,#NUM!,#DIV/0!
"OSD-242: RR-9, liver",liver,liver,CohortControl_C2 vs GroundControl_C2,Cdhr2,CDHR2,-1.075606111,,0.4744716818,#NUM!,#DIV/0!
"OSD-379: RR-8, liver",liver,liver,Spaceflight 23d (FrozenCarcass on ISS) vs VivariumControl 23d (FrozenCarcass on ISS),Havcr1,HAVCR1,-1.067051451,,0.477293485,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (1G centrifugation) (chow+FOS) vs VivariumControl (1G) (chow+FOS),Cdhr2,CDHR2,-1.066533298,,0.4774649387,#NUM!,#DIV/0!
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (uG) (chow) vs VivariumControl (1G) (chow),Cdhr2,CDHR2,-1.05484288,,0.4813496413,#NUM!,#DIV/0!
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (1G centrifugation) (chow) vs VivariumControl (1G) (chow),Gfap,GFAP,-1.05226367,,0.4822109545,#NUM!,#DIV/0!
"OSD-248: RR-6, lung",lung,lung,Spaceflight 60d (FrozenCarcass on ISS) vs GroundControl 60d (FrozenCarcass on Earth),BC053393,HAVCR1,-1.047394356,,0.4838412389,#NUM!,#DIV/0!
"OSD-247: RR-6, colon",colon,colon,Spaceflight 30d (FreshDissection on Earth) vs BasalControl 1d (FreshDissection on Earth),Cxcl17,CXCL17,-1.039320164,,0.4865566979,#NUM!,#DIV/0!
"OSD-242: RR-9, liver",liver,liver,CohortControl_C2 vs BasalControl_C1,Cdhr2,CDHR2,-1.008149445,,0.4971835797,#NUM!,#DIV/0!
"OSD-242: RR-9, liver",liver,liver,CohortControl_C2 vs CC_C1,Cdhr2,CDHR2,-0.9933853152,,0.5022977385,#NUM!,#DIV/0!
"OSD-289: MHU-1/2, thymus",thymus,thymus,"MHU1, Spaceflight (uG) vs Spaceflight (1G centrifugation)",Havcr1,HAVCR1,-0.9791527369,,0.5072775654,#NUM!,#DIV/0!
"OSD-289: MHU-1/2, thymus",thymus,thymus,"MHU1, Spaceflight (1G centrifugation) vs Spaceflight (uG)",Gfap,GFAP,-0.9746837953,,0.508851362,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (1G centrifugation) (chow) vs GroundControl (1G) (chow),Cdhr2,CDHR2,-0.9414293972,,0.5207167077,#NUM!,#DIV/0!
"OSD-248: RR-6, lung",lung,lung,BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),BC053393,HAVCR1,-0.9334113,,0.5236187631,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnEarth) (Age 29wk) vs Vivariumcontrol (EuthanasiaOnEarth) (Age 29wk),Havcr1,HAVCR1,-0.924681396,,0.5267968427,#NUM!,#DIV/0!
"OSD-511: RR-8, mammary gland",gland,mammary gland,(Age 32wk) Spaceflight vs (Age 32wk) GroundControl,BC053393,HAVCR1,-0.9203773271,,0.5283708104,#NUM!,#DIV/0!
"OSD-289: MHU-1/2, thymus",thymus,thymus,"MHU2, Spaceflight (uG) vs Spaceflight (1G centrifugation)",Cxcl17,CXCL17,-0.8815519758,,0.5427832193,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow+FOS) vs Spaceflight (1G centrifugation) (chow),Cdhr2,CDHR2,-0.8689577485,,0.5475422708,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow) vs VivariumControl (1G) (chow),Cxcl17,CXCL17,-0.8649701415,,0.5490577703,#NUM!,#DIV/0!
"OSD-511: RR-8, mammary gland",gland,mammary gland,(Age 32wk) Spaceflight vs (Age 32wk) VivariumControl,BC053393,HAVCR1,-0.8454086292,,0.5565531486,#NUM!,#DIV/0!
"OSD-248: RR-6, lung",lung,lung,Spaceflight 30d (FreshDissection on Earth) vs GroundControl 30d (FreshDissection on Earth),Nefl,NEFL,-0.8440578076,,0.5570745035,#NUM!,#DIV/0!
